CustomerID,PlanType,RenewalDate,Status
2001,Pro,12/1/2024,Active
2002,Pro,12/2/2024,Inactive
2003,Pro,12/3/2024,Inactive
2004,Premium,12/4/2024,Inactive
2005,Basic,12/5/2024,Active
2006,Premium,12/6/2024,Active
2007,Pro,12/7/2024,Inactive
2008,Basic,12/8/2024,Active
2009,Pro,12/9/2024,Active
2010,Basic,12/10/2024,Inactive
2011,Basic,12/11/2024,Inactive
2012,Pro,12/12/2024,Inactive
2013,Basic,12/13/2024,Inactive
2014,Basic,12/14/2024,Active
2015,Pro,12/15/2024,Active
2016,Basic,12/16/2024,Inactive
2017,Pro,12/17/2024,Active
2018,Premium,12/18/2024,Active
2019,Premium,12/19/2024,Active
2020,Pro,12/20/2024,Inactive
2021,Basic,12/21/2024,Inactive
2022,Premium,12/22/2024,Inactive
2023,Pro,12/23/2024,Inactive
2024,Pro,12/24/2024,Inactive
2025,Basic,12/25/2024,Active
2026,Basic,12/26/2024,Inactive
2027,Basic,12/27/2024,Inactive
2028,Pro,12/28/2024,Active
2029,Premium,12/29/2024,Inactive
2030,Pro,12/30/2024,Active
2031,Basic,12/31/2024,Active
2032,Basic,1/1/2025,Inactive
2033,Pro,1/2/2025,Active
2034,Basic,1/3/2025,Active
2035,Basic,1/4/2025,Active
2036,Pro,1/5/2025,Inactive
2037,Premium,1/6/2025,Active
2038,Basic,1/7/2025,Active
2039,Premium,1/8/2025,Active
2040,Premium,1/9/2025,Active
2041,Premium,1/10/2025,Active
2042,Premium,1/11/2025,Inactive
2043,Basic,1/12/2025,Active
2044,Basic,1/13/2025,Active
2045,Pro,1/14/2025,Inactive
2046,Basic,1/15/2025,Active
2047,Pro,1/16/2025,Active
2048,Premium,1/17/2025,Active
2049,Pro,1/18/2025,Inactive
2050,Pro,1/19/2025,Inactive
2051,Basic,1/20/2025,Inactive
2052,Pro,1/21/2025,Active
2053,Premium,1/22/2025,Active
2054,Basic,1/23/2025,Inactive
2055,Basic,1/24/2025,Inactive
2056,Basic,1/25/2025,Inactive
2057,Premium,1/26/2025,Inactive
2058,Pro,1/27/2025,Inactive
2059,Basic,1/28/2025,Active
2060,Pro,1/29/2025,Active
2061,Premium,1/30/2025,Active
2062,Premium,1/31/2025,Active
2063,Premium,2/1/2025,Active
2064,Basic,2/2/2025,Active
2065,Basic,2/3/2025,Active
2066,Pro,2/4/2025,Active
