TicketID,CustomerID,IssueType,ResolutionTime,FeedbackScore
1,2319,Payment,17,2
2,2707,General,39,7
3,2509,Payment,59,1
4,2020,Technical,7,6
5,2811,General,63,8
6,2752,General,57,1
7,2235,Technical,34,1
8,2597,General,53,6
9,2606,General,66,5
10,2554,General,48,3
11,2876,General,60,7
12,2350,General,43,7
13,2453,Payment,4,7
14,2586,Technical,52,6
15,2984,Technical,32,4
16,2877,Payment,51,9
17,2509,Payment,10,9
18,2627,Technical,12,7
19,2423,Technical,39,7
20,2190,Payment,68,8
21,2944,Payment,10,5
22,2125,General,10,9
23,2006,Payment,23,6
24,2458,Payment,13,7
25,2891,General,48,7
26,2554,General,44,9
27,2570,Technical,64,7
28,2939,Technical,40,3
29,2522,Payment,6,6
30,2089,General,43,6
31,2846,General,32,7
32,2111,Technical,49,6
33,2551,Technical,19,4
34,2397,Payment,52,6
35,2971,General,52,3
36,2679,Technical,34,1
37,2011,Payment,59,1
38,2622,Payment,5,5
39,2497,Payment,66,8
40,2016,Technical,41,3
41,2033,Technical,34,2
42,2745,Technical,54,8
43,2489,Technical,20,9
44,2188,Technical,54,9
45,2736,General,66,2
46,2571,General,18,8
47,2458,General,44,2
48,2051,General,48,7
49,2271,Payment,35,8
50,2464,Payment,39,1
51,2043,General,3,8
52,2539,Technical,19,3
53,2568,General,18,1
54,2121,General,5,7
55,2625,Payment,55,3
56,2316,Technical,13,8
57,2115,Payment,34,9
58,2621,Technical,18,2
59,2992,Payment,68,1
60,2454,General,43,8
61,2687,Technical,65,6
62,2624,Payment,41,1
63,2612,General,38,3
64,2520,Payment,38,9
65,2959,Payment,13,9
66,2985,Payment,22,6
67,2647,General,29,3
68,2763,Technical,9,8
69,2337,Payment,68,6
70,2240,General,17,1
71,2734,Payment,37,6
72,2386,Technical,64,5
73,2145,Payment,67,8
74,2377,General,4,2
75,2004,Payment,40,7
76,2794,Payment,16,6
77,2846,Technical,11,1
78,2328,Technical,26,8
79,2197,Technical,65,6
80,2389,Payment,2,3
81,2640,General,45,5
82,2261,Payment,43,7
83,2603,Payment,3,9
84,2837,Payment,34,4
85,2771,Payment,65,2
86,2934,Technical,64,3
87,2094,Technical,7,7
88,2257,Technical,35,8
89,2136,Technical,22,5
90,2525,General,48,3
91,2980,Payment,32,1
92,2710,Payment,26,1
93,2498,Payment,6,2
94,2178,General,46,5
95,2112,General,55,3
96,2264,Technical,55,7
97,2414,Payment,57,2
98,2369,Payment,63,2
99,2936,General,1,3
100,2591,Payment,21,1
101,2378,General,20,2
102,2768,Technical,29,5
103,2586,General,43,3
104,2383,Payment,45,6
105,2673,General,65,2
106,2511,General,3,8
107,2713,Technical,20,4
108,2881,Payment,37,3
109,2820,Payment,38,5
110,2377,Technical,45,8
111,2545,General,42,9
112,2073,General,46,1
113,2974,Payment,60,4
114,2504,General,13,6
115,2352,Technical,31,6
116,2805,Payment,68,9
117,2710,General,62,1
118,2325,Technical,49,5
119,2388,Technical,18,1
120,2828,Payment,53,6
121,2240,Payment,18,9
122,2976,General,51,4
123,2074,General,41,9
124,2031,General,67,3
125,2479,Technical,65,7
126,2014,Technical,6,5
127,2717,General,37,1
128,2316,Payment,12,7
129,2068,Technical,2,8
130,2640,Technical,53,6
131,2538,General,25,1
132,2920,Payment,28,9
133,2696,Technical,45,7
134,2649,Payment,37,6
135,2291,Technical,17,4
136,2618,Payment,69,3
137,2975,Payment,56,4
138,2024,Technical,58,1
139,2415,Payment,4,9
140,2851,Technical,55,2
141,2962,Technical,49,2
142,2706,Payment,38,3
143,2681,Technical,45,1
144,2036,Payment,30,3
145,2101,Technical,37,4
146,2546,Payment,56,9
147,2889,Technical,27,5
148,2039,Technical,32,6
149,2211,General,11,1
150,2742,Technical,58,3
151,2791,Technical,35,7
152,2592,Payment,17,7
153,2750,Payment,30,1
154,2172,Payment,18,9
155,2838,Payment,30,1
156,2442,General,16,7
157,2059,General,54,2
158,2410,Payment,4,9
159,2534,Payment,15,9
160,2365,Payment,27,9
161,2367,Payment,4,4
162,2344,Technical,35,6
163,2750,Payment,63,2
164,2296,Technical,66,3
165,2341,Payment,39,6
166,2606,General,28,1
167,2756,General,34,7
168,2523,Payment,33,2
169,2629,General,50,8
170,2265,General,60,5
171,2524,General,42,7
172,2666,General,28,8
173,2038,Technical,27,3
174,2131,Technical,1,6
175,2382,Technical,8,9
176,2225,Technical,46,4
177,2143,Payment,24,7
178,2431,General,40,1
179,2389,General,51,7
180,2054,Payment,24,9
181,2024,Payment,22,8
182,2395,Technical,68,4
183,2633,Technical,8,3
184,2119,General,58,7
185,2673,Payment,15,1
186,2983,General,8,8
187,2586,Payment,42,1
188,2185,Technical,39,7
189,2948,General,35,6
190,2192,General,41,8
191,2939,Payment,48,6
192,2732,General,71,5
193,2487,Technical,44,9
194,2633,General,35,4
195,2721,Payment,27,7
196,2384,General,65,6
197,2812,Technical,70,6
198,2346,Payment,66,5
199,2473,Payment,71,2
200,2676,Technical,63,4
201,2780,Payment,29,1
202,2952,Payment,31,9
203,2003,General,64,9
204,2050,Payment,53,8
205,2925,General,68,4
206,2876,Technical,25,5
207,2504,Technical,13,1
208,2984,Technical,40,4
209,2211,Technical,7,4
210,2973,Payment,32,5
211,2528,Payment,24,2
212,2680,General,1,2
213,2283,General,47,2
214,2379,General,51,8
215,2326,Payment,36,2
216,2298,General,27,6
217,2697,Payment,70,2
218,2138,Technical,42,8
219,2125,Payment,68,1
220,2934,Technical,70,2
221,2392,General,13,5
222,2402,Payment,25,6
223,2480,General,22,9
224,2401,General,21,6
225,2570,Technical,15,8
226,2362,General,67,7
227,2066,Payment,37,1
228,2428,General,45,2
229,2852,Technical,26,4
230,2714,Technical,55,1
231,2521,General,50,8
232,2432,Technical,35,4
233,2935,General,41,7
234,2105,Technical,11,7
235,2089,General,8,8
236,2601,General,54,9
237,2856,Payment,1,9
238,2006,Payment,20,7
239,2158,General,34,9
240,2379,Payment,57,5
241,2330,Payment,13,4
242,2103,Technical,54,3
243,2223,Payment,53,6
244,2402,Technical,52,9
245,2683,Payment,6,4
246,2545,Payment,36,2
247,2509,General,25,3
248,2693,Payment,58,3
249,2184,General,55,2
250,2915,General,3,9
251,2087,General,28,4
252,2581,General,68,3
253,2380,Payment,38,6
254,2538,General,34,8
255,2413,Payment,13,8
256,2920,Payment,5,6
257,2518,Technical,60,5
258,2768,Technical,17,7
259,2694,Technical,57,3
260,2295,General,31,2
261,2260,Payment,65,8
262,2384,Payment,66,9
263,2826,General,33,6
264,2304,Technical,4,4
265,2316,Technical,55,6
266,2746,Payment,24,7
267,2794,Payment,32,8
268,2719,Payment,47,3
269,2077,Technical,16,6
270,2680,Payment,21,6
271,2854,Technical,67,7
272,2379,Technical,31,4
273,2461,Technical,14,6
274,2056,General,6,2
275,2807,General,69,8
276,2081,Payment,29,3
277,2996,Technical,55,9
278,2679,Payment,37,8
279,2176,Technical,59,6
280,2793,Payment,36,2
281,2930,Payment,59,8
282,2383,General,64,6
283,2149,General,43,1
284,2768,General,42,6
285,2281,General,60,5
286,2345,Technical,62,6
287,2790,Payment,64,1
288,2791,Payment,58,4
289,2409,Technical,2,7
290,2718,Technical,71,5
291,2974,Payment,8,6
292,2922,General,56,2
293,3000,General,36,8
294,2030,General,69,4
295,2730,Technical,13,6
