TransactionID,CustomerID,Product,PurchaseDate,Amount
1,2425,Service,2024-01-01 00:00:00,2333.82
2,2129,Course,2024-01-01 01:00:00,4770.95
3,2130,Subscription,2024-01-01 02:00:00,4267.22
4,2572,Service,2024-01-01 03:00:00,811.64
5,2560,Subscription,2024-01-01 04:00:00,245.93
6,2029,Subscription,2024-01-01 05:00:00,4674.27
7,2097,Course,2024-01-01 06:00:00,2681.07
8,2010,Subscription,2024-01-01 07:00:00,2735.41
9,2242,Service,2024-01-01 08:00:00,3925.52
10,2826,Subscription,2024-01-01 09:00:00,1641.98
11,2956,Subscription,2024-01-01 10:00:00,2461.35
12,2232,Subscription,2024-01-01 11:00:00,4846.45
13,2789,Subscription,2024-01-01 12:00:00,3393.53
14,2284,Subscription,2024-01-01 13:00:00,853.35
15,2715,Course,2024-01-01 14:00:00,752.81
16,2759,Service,2024-01-01 15:00:00,1100.9
17,2802,Course,2024-01-01 16:00:00,3856.89
18,2776,Service,2024-01-01 17:00:00,1547.35
19,2955,Service,2024-01-01 18:00:00,204.81
20,2726,Service,2024-01-01 19:00:00,4726.45
21,2200,Service,2024-01-01 20:00:00,931.6
22,2945,Service,2024-01-01 21:00:00,146.84
23,2079,Subscription,2024-01-01 22:00:00,1261.94
24,2913,Course,2024-01-01 23:00:00,1251.64
25,2956,Course,2024-01-02 00:00:00,2167.83
26,2855,Subscription,2024-01-02 01:00:00,4609.91
27,2856,Service,2024-01-02 02:00:00,4408.01
28,2173,Course,2024-01-02 03:00:00,2338.78
29,2467,Subscription,2024-01-02 04:00:00,2113.41
30,2581,Subscription,2024-01-02 05:00:00,2819.54
31,2416,Course,2024-01-02 06:00:00,1292.92
32,2940,Course,2024-01-02 07:00:00,355.71
33,2449,Service,2024-01-02 08:00:00,4702.2
34,2087,Service,2024-01-02 09:00:00,1014.83
35,2101,Course,2024-01-02 10:00:00,1072.16
36,2008,Service,2024-01-02 11:00:00,2415.06
37,2845,Subscription,2024-01-02 12:00:00,2508.91
38,2200,Service,2024-01-02 13:00:00,190.33
39,2505,Service,2024-01-02 14:00:00,824.98
40,2087,Subscription,2024-01-02 15:00:00,1952.96
41,2043,Service,2024-01-02 16:00:00,3450.28
42,2385,Subscription,2024-01-02 17:00:00,1219.25
43,2621,Service,2024-01-02 18:00:00,2172.77
44,2435,Course,2024-01-02 19:00:00,2830.99
45,2408,Service,2024-01-02 20:00:00,4454.1
46,2483,Course,2024-01-02 21:00:00,1697.75
47,2664,Course,2024-01-02 22:00:00,754.44
48,2017,Course,2024-01-02 23:00:00,2497.43
49,2645,Course,2024-01-03 00:00:00,3758.94
50,2148,Course,2024-01-03 01:00:00,638.31
51,2277,Subscription,2024-01-03 02:00:00,2180.95
52,2232,Subscription,2024-01-03 03:00:00,187.15
53,2826,Subscription,2024-01-03 04:00:00,264.44
54,2927,Course,2024-01-03 05:00:00,2466.47
55,2366,Service,2024-01-03 06:00:00,1561.17
56,2228,Subscription,2024-01-03 07:00:00,4241.03
57,2651,Service,2024-01-03 08:00:00,3050.56
58,2436,Service,2024-01-03 09:00:00,2324.27
59,2399,Course,2024-01-03 10:00:00,2098.88
60,2211,Course,2024-01-03 11:00:00,2536.5
61,2391,Course,2024-01-03 12:00:00,298.15
62,2499,Subscription,2024-01-03 13:00:00,4474.69
63,2540,Course,2024-01-03 14:00:00,4991.69
64,2563,Subscription,2024-01-03 15:00:00,989.29
65,2491,Subscription,2024-01-03 16:00:00,689.88
66,2442,Subscription,2024-01-03 17:00:00,803.53
67,2261,Subscription,2024-01-03 18:00:00,3339.03
68,2773,Course,2024-01-03 19:00:00,3341.06
69,2350,Subscription,2024-01-03 20:00:00,4254.83
70,2352,Course,2024-01-03 21:00:00,3783.95
71,2520,Course,2024-01-03 22:00:00,2303.48
72,2320,Subscription,2024-01-03 23:00:00,3102.99
73,2138,Course,2024-01-04 00:00:00,3472.59
74,2550,Service,2024-01-04 01:00:00,2612.41
75,2623,Course,2024-01-04 02:00:00,2430.69
76,2992,Course,2024-01-04 03:00:00,3260.98
77,2368,Subscription,2024-01-04 04:00:00,2831.63
78,2220,Subscription,2024-01-04 05:00:00,3255.32
79,2337,Course,2024-01-04 06:00:00,3102.99
80,2223,Subscription,2024-01-04 07:00:00,3624.06
81,2648,Service,2024-01-04 08:00:00,3249.74
82,2768,Service,2024-01-04 09:00:00,2646.74
83,2360,Subscription,2024-01-04 10:00:00,3440.8
84,2921,Course,2024-01-04 11:00:00,2302.46
85,2329,Service,2024-01-04 12:00:00,1284.19
86,2962,Service,2024-01-04 13:00:00,106.95
87,2463,Course,2024-01-04 14:00:00,2843.82
88,2946,Subscription,2024-01-04 15:00:00,2994.21
89,2963,Service,2024-01-04 16:00:00,4863.04
90,2561,Course,2024-01-04 17:00:00,1871.24
91,2804,Course,2024-01-04 18:00:00,2031.25
92,2382,Service,2024-01-04 19:00:00,1088.82
93,2836,Subscription,2024-01-04 20:00:00,445.62
94,2590,Service,2024-01-04 21:00:00,3886.74
95,2617,Course,2024-01-04 22:00:00,1323.44
96,2169,Service,2024-01-04 23:00:00,3083.63
97,2217,Subscription,2024-01-05 00:00:00,3470.09
98,2378,Course,2024-01-05 01:00:00,2409.06
99,2119,Subscription,2024-01-05 02:00:00,4394.13
100,2190,Service,2024-01-05 03:00:00,2274.59
101,2767,Service,2024-01-05 04:00:00,1496.05
102,2370,Subscription,2024-01-05 05:00:00,4490.48
103,2778,Service,2024-01-05 06:00:00,4321.66
104,2149,Subscription,2024-01-05 07:00:00,903.8
105,2676,Service,2024-01-05 08:00:00,227.21
106,2652,Subscription,2024-01-05 09:00:00,540.93
107,2859,Subscription,2024-01-05 10:00:00,1504.08
108,2488,Course,2024-01-05 11:00:00,4864.07
109,2770,Course,2024-01-05 12:00:00,2836.73
110,2374,Subscription,2024-01-05 13:00:00,1928.98
111,2781,Service,2024-01-05 14:00:00,4454.71
112,2693,Service,2024-01-05 15:00:00,2320.37
113,2160,Service,2024-01-05 16:00:00,1644.67
114,2351,Subscription,2024-01-05 17:00:00,4711.98
115,2912,Subscription,2024-01-05 18:00:00,4262.64
116,2288,Subscription,2024-01-05 19:00:00,4233.98
117,2288,Subscription,2024-01-05 20:00:00,2610.2
118,2892,Course,2024-01-05 21:00:00,3968.25
119,2226,Subscription,2024-01-05 22:00:00,978.83
120,2523,Service,2024-01-05 23:00:00,2908.79
121,2522,Course,2024-01-06 00:00:00,4920.85
122,2783,Service,2024-01-06 01:00:00,1525.7
123,2273,Subscription,2024-01-06 02:00:00,3992.33
124,2936,Course,2024-01-06 03:00:00,2503.34
125,2402,Subscription,2024-01-06 04:00:00,295.05
126,2183,Course,2024-01-06 05:00:00,3838.8
127,2969,Service,2024-01-06 06:00:00,925.99
128,2665,Subscription,2024-01-06 07:00:00,3194.22
129,2488,Subscription,2024-01-06 08:00:00,519.75
130,2827,Course,2024-01-06 09:00:00,4739.65
131,2846,Course,2024-01-06 10:00:00,1529.45
132,2124,Subscription,2024-01-06 11:00:00,1209.68
133,2985,Course,2024-01-06 12:00:00,732.77
134,2626,Subscription,2024-01-06 13:00:00,4735.41
135,2790,Course,2024-01-06 14:00:00,3588.33
136,2414,Service,2024-01-06 15:00:00,3734.14
137,2980,Course,2024-01-06 16:00:00,2547.08
138,2725,Service,2024-01-06 17:00:00,2426.17
139,2172,Course,2024-01-06 18:00:00,639.1
140,2288,Course,2024-01-06 19:00:00,2843.22
141,2435,Subscription,2024-01-06 20:00:00,1309.89
142,2686,Course,2024-01-06 21:00:00,4888.01
143,2113,Course,2024-01-06 22:00:00,4003.25
144,2888,Service,2024-01-06 23:00:00,2123.66
145,2917,Course,2024-01-07 00:00:00,841.57
146,2995,Subscription,2024-01-07 01:00:00,3948.13
147,2122,Service,2024-01-07 02:00:00,698.06
148,2544,Subscription,2024-01-07 03:00:00,1027.74
149,2222,Subscription,2024-01-07 04:00:00,1136.45
150,2631,Subscription,2024-01-07 05:00:00,2828.76
151,2039,Subscription,2024-01-07 06:00:00,3956.58
152,2497,Service,2024-01-07 07:00:00,1640.14
153,2780,Course,2024-01-07 08:00:00,514.88
154,2233,Subscription,2024-01-07 09:00:00,2376.24
155,2943,Service,2024-01-07 10:00:00,3765.74
156,2530,Subscription,2024-01-07 11:00:00,1186.15
157,2149,Course,2024-01-07 12:00:00,1177.63
158,2397,Service,2024-01-07 13:00:00,4741.41
159,2661,Service,2024-01-07 14:00:00,4775.35
160,2638,Course,2024-01-07 15:00:00,4953.28
161,2904,Service,2024-01-07 16:00:00,4057.53
162,2302,Course,2024-01-07 17:00:00,1022.1
163,2360,Service,2024-01-07 18:00:00,1138.71
164,2238,Service,2024-01-07 19:00:00,1767.1
165,2647,Course,2024-01-07 20:00:00,1658.85
166,2663,Course,2024-01-07 21:00:00,4786.99
167,2236,Service,2024-01-07 22:00:00,3966.46
168,2736,Service,2024-01-07 23:00:00,3647.64
169,2203,Course,2024-01-08 00:00:00,1011.22
170,2256,Course,2024-01-08 01:00:00,4556.68
171,2598,Service,2024-01-08 02:00:00,4156.56
172,2662,Service,2024-01-08 03:00:00,901.85
